priref	name	name_rkd_matching	rkd_reconcile_match_score	rkd_uri	rkd_id_reconciliation	Aantal gelinkte records	digital_reference	gender	birth.date.start	birth.date.end	birth.place	death.date.start	death.date.end	death.place
24484	Kleekamp, C.	Kleekamp, C.				13	https://rkd.nl/explore/artists/44630	vrouw	1937-07-17T23:00:00Z	1937-07-17T23:00:00Z	Den Haag			
24486	Leckwijck, E.C.B. Van	Leckwijck, E.C.B. Van				10	https://rkd.nl/explore/artists/79280	vrouw	1899-03-23	1899-03-23	ANTWERPEN	1987-05-01T22:00:00Z	1987-05-01T22:00:00Z	Amsterdam
24489	Remkes, B.T.J.	Remkes, B.T.J.				43	https://rkd.nl/explore/artists/66237	man	1942-09-06T22:00:00Z	1942-09-06T22:00:00Z	DRACHTEN			
24492	Crabeth, vennootschap	Crabeth, vennootschap				5		niet van toepassing						
24493	Soest, L.W. van	Soest, L.W. van				6	https://rkd.nl/explore/artists/73753	man	1867-04-05	1867-04-05	Poerworedjo	1948-03-10T23:00:00Z	1948-03-10T23:00:00Z	Den Haag
24498	Kempers, M.	Kempers, M.				27	https://rkd.nl/explore/artists/43907	man	1924-04-04T23:00:00Z	1924-04-04T23:00:00Z	ENSCHEDE	1993-11-25T23:00:00Z	1993-11-25T23:00:00Z	Amsterdam
24502	Druten, J. van	Druten, Jan van (1875-1960)	100.0	https://data.rkd.nl/artists/125900	125900	3		man						
24505	Tang, Ramon	Wolvetang, Dirk	100.0	https://data.rkd.nl/artists/85470	85470	1	https://rkd.nl/explore/artists/85470	man	1933-05-28T23:00:00Z	1933-05-28T23:00:00Z	Amsterdam			
24506	Turnhout, J.C. van	Turnhout, J.C. van				15	https://rkd.nl/explore/artists/78541	man	1919-03-22T23:00:00Z	1919-03-22T23:00:00Z	EINDHOVEN	1970-02-26T23:00:00Z	1970-02-26T23:00:00Z	Amsterdam
24507	Hamelberg, A.W.	Hamelberg, A.W.				1	https://rkd.nl/explore/artists/35611	man	1931-03-23T23:00:00Z	1931-03-23T23:00:00Z	Bocholt			
24509	Goeting, J.	Goeting, J.				219	https://rkd.nl/explore/artists/32396	man	1946	1946	Den Haag	1986-11-28T23:00:00Z	1986-11-28T23:00:00Z	Amsterdam
24510	S.K.S. Productie	S.K.S. Productie				1		niet van toepassing						
24511	Patel, P.A. II	Patel, P.A. II				1		man	1648-11-22	1648-11-22	PARIJS	1707-03-15	1707-03-15	PARIJS
24512	Rats, H.C.A.	Rats, H.C.A.				2	https://rkd.nl/explore/artists/65676	man	1900-09-16T23:00:00Z	1900-09-16T23:00:00Z	UDENHOUT	1979-04-13T23:00:00Z	1979-04-13T23:00:00Z	MAASTRICHT
24515	Wuffelen, G. van	Wuffelen, G. van				1		onbekend						
