Term in CSV,Other Term in CSV,Similarity Score
Tuinbouw,Tuingebouw,89
Abt,Ambt,86
Heemraadschap,Hoogheemraadschap,87
moestuin,moestuinen,89
moestuin,(moes)tuin,89
Diaconie,Diakonie,88
Diaconie,Diaconen,88
Statie,State,91
Drinkwatervoorziening,watervoorziening,86
Mijnbouw,Mijngebouw,89
Mijnbouw,Wijnbouw,88
Rosmolen,Rosmolens,94
Rosmolen,rosmolen,88
Kust,Kunst,89
natuurgebied,Natuurgebieden,85
Handmerk,Handwerk,88
Profiel,Profielen,88
Politie,Politiek,93
huiskerk,huiskerken,89
gashouder,gashouders,95
winkelpui,winkelpuien,90
Wapenbord,wapenbord,89
logement,logementen,89
stormvloedkering,stormvloedkeringen,94
Mythologie,Myologie,89
donjon,donjons,92
tunnel,tunnels,92
Vakbond,Vakbonden,88
kaarsenfabriek,kaasfabriek,88
kaarsenfabriek,Garenfabriek,85
kaarsenfabriek,kaarsenfabrieken,93
Rouwbord,Rouwborden,89
Rouwbord,rouwbord,88
parochiekerk,parochiekerken,92
Timmerwerf,Timmerwerk,90
Historische stad,Historische musea,85
Vervuiling,Verzuiling,90
Vissershuis,Vissershut,86
Tiend,Tiende,91
leerlooierij,leerlooierijen,92
vloerconstructie,vloerconstructies,97
Stadskern,Stadskernen,90
Stadsrecht,Stadsrechten,91
Stadsrecht,Staatsrecht,86
woonkazerne,woonkazernes,96
café-restaurant,café-restaurants,97
café-restaurant,Café-restaurant,93
sierbestrating,sierbestratingen,93
parlementsgebouw,Departementsgebouw,88
parlementsgebouw,parlementsgebouwen,94
Buurschap,Buurtschap,95
Buurschap,Buurschappen,86
Vegetatiedak,Vegetatie,86
eendenkooi,eendekooien,86
Steengroeve,Steengroeven,96
hoogspanningsmast,hoogspanningsmasten,94
garage,garages,92
tolhuis,dolhuis,86
Kerkenkruis,Kerkkruis,90
Straatnaambord,straatnaamborden,87
Huisnummer,Huisnummering,87
Brugconstructie,Bouwconstructie,87
Brugconstructie,Boogconstructie,87
Gemeentewapen,Gemeentewapens,96
Paalwoning,Paalwoningen,91
reliekschrijn,reliekschrijnen,93
wolkenkrabber,wolkenkrabbers,96
tuchthuis,Luchthuis,89
elektriciteitscentrale,Electriciteitscentrale,91
elektriciteitscentrale,elektriciteitscentrales,98
melkwinkel,melkwinkels,95
beenderhuis,eendenhuis,86
Grafschrift,Grafschriften,92
graftombe,graftomben,95
zendstation,zendstations,96
Timmerfabriek,timmerfabrieken,86
Protestantse kerk,Protestantse kerken,94
Acrylhars,Akrylhars,89
Perspectief,Porspectie,86
Koorbank,Koorbanken,89
Graansilo,graansilo,89
Karmelieten,Karmelietes,91
gymnasium,gymnasiums,95
tabaksfabrieken,kaasfabrieken,86
Keramische industrie,Grafische industrie,87
Keramische industrie,Grofkeramische industrie,86
Keramische industrie,Chemische industrie,87
scheepslift,scheepsliften,92
Kas,Kaas,86
Walhuis,Washuis,86
azijnfabriek,azijnfabrieken,92
Sigarenfabriek,Garenfabriek,85
Sigarenfabriek,Sigarettenfabriek,90
Sigarenfabriek,sigarenfabrieken,87
drukkerij,drukkerijen,90
Beekdal,Beekdalen,88
Zoutziederij,zoutziederijen,85
spoorbrug,spoorbruggen,86
abdijkerk,abdijkerken,90
Verlichting,belichting,86
urinoir,urinoirs,93
Reparatie,Reparaties,95
Departementsgebouw,parlementsgebouw,88
Zoutindustrie,Houtindustrie,92
Zoutindustrie,Touwindustrie,85
Zoutindustrie,Bouwindustrie,85
Zoutindustrie,Botindustrie,88
grutterij,grutterijen,90
Zee,Zeep,86
Koorafsluiting,Koorsluiting,92
Lodewijk-XVI-stijl,Lodewijk-XIII-stijl,92
Lodewijk-XVI-stijl,Lodewijk-XIV-stijl,94
Lodewijk-XVI-stijl,Lodewijk-XV-stijl,97
Lodewijk-XVI-stijl,Lodewijk-stijl,88
Lodewijk-XVI-stijl,Lodewijk XIV-stijl,89
Lodewijk-XVI-stijl,Lodewijk XV-stijI,86
Lodewijk-XVI-stijl,Lodewijk XVI-stijl,94
Voetveeg,Voetveer,88
visbank,visbanken,88
Invloed,Invloeden,88
Hijswerktuig,Heiwerktuig,87
Hijswerktuig,Hijswerktuigen,92
Speelhuis,Speelhuisje,90
Grot,Grout,89
wachtgebouw,wachtgebouwen,92
aardewerkfabriek,aardewerkfabrieken,94
Havezathe,Havezate,94
Chemische-industrie,Chemische industrie,95
Papierfabriek,Papierfabricage,86
Papierfabriek,papierfabrieken,86
Keuken,Keukens,92
Dienstwoning,dienstwoningen,85
Schuttersgilde,Schuttersgilden,97
glasfabriek,lakfabriek,86
glasfabriek,Wasfabriek,86
glasfabriek,gasfabrieken,87
glasfabriek,glasfabrieken,92
Vlaamse schuur,Vlaamse schuren,90
toegangshek,toegangshekken,88
Klokkengieter,klokkengieterij,86
Klokkengieter,Klokgieter,87
Klokkengieter,Klokkengieters,96
Ikonografie,Iconografie,91
westwerk,westwerken,89
Kruisbeeld,kruisbeeld,90
ontginning,ontginningen,91
ontginning,ontginningsas,87
Bestemmingsplan,Bestemmingsplannen,91
Zinkwit,zinkwit,86
steenbakkerij,tegelbakkerij,85
steenbakkerij,steenbakkerijen,93
tramstation,tramstations,96
rozet,roet,89
manege,maneges,92
Restauratie,Restauratieplan,85
Restauratie,Restauraties,96
Retabel,Retabels,93
tuinbeeld,tuinbeelden,90
Scheur,Scheuren,86
Goudleer,goudleer,88
bunker,bunkers,92
