Term in CSV|Other Term in CSV|Percentage Match
winkelgalerij|winkelgalerijen|86.66666666666667
sluisdeur|Kluisdeur|88.88888888888889
Staalconstructie|Schaalconstructie|88.23529411764706
atelier|ateliers|87.5
filtergebouw|filtergebouwen|85.71428571428572
gezondheidskolonie|gezondheidskolonien|94.73684210526316
administratiegebouw|administratiegebouwen|90.47619047619048
Voetveer|Voetveeg|87.5
Inundatie|Inundaties|90.0
katholieke begraafplaats|katholieke begraafplaatsen|92.3076923076923
bouwoffer|bouwoffers|90.0
calvarieberg|calvariebergen|85.71428571428572
informatiesysteem|informatiesystemen|88.88888888888889
mijnwerkerswoning|mijnwerkerswoningen|89.47368421052632
Pleisterplaats|Pleisterplaatsen|87.5
stationsoverkapping|stationsoverkappingen|90.47619047619048
diamantslijperij|diamantslijperijen|88.88888888888889
Gouvernementsgebouw|gouvernementsgebouwen|85.71428571428572
luchtwachttoren|luchtwachttorens|93.75
bejaardenwoning|bejaardenwoningen|88.23529411764706
dakpannenfabriek|dakpannenfabrieken|88.88888888888889
schuilplaats|schuilplaatsen|85.71428571428572
lunchroom|lunchrooms|90.0
schuurmiddel|schuurmiddelen|85.71428571428572
Legende|Legenden|87.5
Mergel|Mergels|85.71428571428572
veerhuis|Teerhuis|87.5
Rietdekker|Rietdekken|90.0
kapittelkerk|kapittelkerken|85.71428571428572
Zilvermerk|Zilverwerk|90.0
Rietdekken|Rietdekker|90.0
Decoratie|Decoraties|90.0
Lakwerk|Vakwerk|85.71428571428572
Lakwerk|Dakwerk|85.71428571428572
Lakwerk|Laswerk|85.71428571428572
Lakwerk|Latwerk|85.71428571428572
Israëlitische begraafplaats|Israëlitische begraafplaatsen|93.10344827586206
brugwachterswoning|brugwachterswoningen|90.0
onderwijzerswoning|onderwijzerswoningen|90.0
Plateel|plateel|85.71428571428572
winkelpassage|winkelpassages|92.85714285714286
kassei|kassein|85.71428571428572
Suikerraffinaderij|suikerraffinaderijen|85.0
Uithangtekens|uithangtekens|92.3076923076923
dwarshuisboerderij|dwarshuisboerderijen|90.0
Blauwselmolen|blauwselmolens|85.71428571428572
Geschilderd behang|Geschilderd behangsel|85.71428571428572
Geschilderd behang|Beschilderd behang|94.44444444444444
Lokale geschiedenis|sociale geschiedenis|85.0
Loterij|Roterij|85.71428571428572
Gewelfconstructie|Gevelconstructie|88.23529411764706
Pijler|Pijlers|85.71428571428572
Nieuwe Haagse School|Nieuwe Haagse school|95.0
Rokerij|Roterij|85.71428571428572
Glasblazer|Glasblazen|90.0
muurtoren|vuurtoren|88.88888888888889
muurtoren|muurtorens|90.0
kartonfabriek|kartonfabrieken|86.66666666666667
Timmermanswerk|Timmermansmerk|92.85714285714286
Heiwerktuig|Hefwerktuig|90.9090909090909
Bouwceramiek|Bouwkeramiek|91.66666666666666
jachthuis|Wachthuis|88.88888888888889
bastion|bastions|87.5
hallehuisboerderij|Hallenhuisboerderij|89.47368421052632
hallehuisboerderij|hallenhuisboerderijn|90.0
kloostergang|kloostergangen|85.71428571428572
broodfabriek|broodfabrieken|85.71428571428572
verfmolen|verfmolens|90.0
Buskruitmolen|buskruitmolens|85.71428571428572
langgevelboerderij|langgevelboerderijen|90.0
sterrenwacht|sterrenwachten|85.71428571428572
Brandveiligheid|Standveiligheid|86.66666666666667
Molenerf|molenerf|87.5
Bouwvergunning|Bouwvergunningen|87.5
Borstbeeld|borstbeeld|90.0
Cisterne|Cisternen|88.88888888888889
ridderhofstede|ridderhofsteden|93.33333333333333
Vuurwerk|Muurwerk|87.5
Kunststeen|kunststeen|90.0
Heilige|Heiligen|87.5
Loopgang|Loofgang|87.5
verstijfde staafboogbrug|verstijfde staafboogbruggen|88.88888888888889
Arbeidsomstandigheden|Arbeidsomstandighedenwet|87.5
schuilkelder|schuilkelders|92.3076923076923
Gebouwde omgeving|gebouwde omgeving|94.11764705882352
Topografie|Typografie|90.0
Topografie|Tomografie|90.0
Loodwit|loodwit|85.71428571428572
conservatorium|observatorium|85.71428571428572
conservatorium|conservatoria|85.71428571428572
koffiebranderij|koffiebranderijen|88.23529411764706
Beschilderd behangsel|Geschilderd behangsel|95.23809523809523
Beschilderd behangsel|Beschilderd behang|85.71428571428572
Beschilderd behangsel|Beschilderd behangsels|95.45454545454545
Pottenbakker|Pottenbakkers|92.3076923076923
admiraliteitsgebouw|admiraliteitsgebouwen|90.47619047619048
verkeerslicht|verkeerslichten|86.66666666666667
droogdok|Droogdok|87.5
tribune|tribunes|87.5
Dakhuis|pakhuis|85.71428571428572
Dakhuis|Bakhuis|85.71428571428572
Pelgrimstocht|Pelgrimstochten|86.66666666666667
klokkenstoelen|klokkenstoel|85.71428571428572
klokkenstoelen|klokkestoelen|92.85714285714286
Timmermansmerk|Timmermanswerk|92.85714285714286
cichoreifabriek|cichoreifabrieken|88.23529411764706
brandspuithuisje|brandspuithuisjes|94.11764705882352
blauwselfabriek|blauwselfabrieken|88.23529411764706
Weermuur|keermuur|87.5
Arbeiderswijk|Arbeiderwijk|92.3076923076923
Steenbewerking|Beenbewerking|85.71428571428572
Glasoven|Vlasoven|87.5
Zoutfabriek|Moutfabriek|90.9090909090909
waterradmolen|waterradmolens|92.85714285714286
zegelstempel|zegelstempels|92.3076923076923
cultureel centrum|cultureel centra|88.23529411764706
atelierwoning|atelierwoningen|86.66666666666667
kruisbasiliek|kruisbasilieken|86.66666666666667
Bedsteewand|Bedstedewand|91.66666666666666
bedrijfsgebouw|bedrijfsgebouwen|87.5
Pannenbakkerij|Pannenbakkerijen|87.5
Loofhout|Loofhut|87.5
kringstelling|kringstellingen|86.66666666666667
Zoutwinning|houtwinning|90.9090909090909
Verdedigingslinie|Verdedigingslinies|94.44444444444444
Architectonisch ontwerp|architectonisch ontwerpen|88.0
Bedstee|Bedstede|87.5
barbacane|barbacanes|90.0
Psalmbord|psalmbord|88.88888888888889
windwatermolen|wipwatermolen|85.71428571428572
windwatermolen|windwatermolens|93.33333333333333
Fabrieksbouw|Fabrieksgebouw|85.71428571428572
tentoonstellingsgebouw|tentoonstellingsgebouwen|91.66666666666666
Travertijn|Travertin|90.0
dakruiter|dakruiters|90.0
Tabaksboerderij|Tabaksboerderijen|88.23529411764706
koeltoren|koeltorens|90.0
Menhir|Menhirs|85.71428571428572
Boogconstructie|Bouwconstructie|86.66666666666667
Boogconstructie|Brugconstructie|86.66666666666667
kloosterboerderij|kloosterboerderijen|89.47368421052632
Bakoven|Bakovens|87.5
Registratie|Registraties|91.66666666666666
Militaire bouwkunst|Utilitaire bouwkunst|90.0
Leeuwenburch|Leeuwenburgh|91.66666666666666
observatorium|conservatorium|85.71428571428572
hekpijler|hekpijlers|90.0
putdeksel|putdeksels|90.0
Palissade|Palissades|90.0
Iconografie|Ikonografie|90.9090909090909
Vierde Nota Ruimtelijke Ordening|Vijfde Nota Ruimtelijke Ordening|93.75
lakenfabriek|lakenfabrieken|85.71428571428572
getijdemolen|getijdenmolens|85.71428571428572
Stroopfabriek|Siroopfabriek|92.3076923076923
Machine|Machines|87.5
industriemolen|industriemolens|93.33333333333333
Typografie|Topografie|90.0
handelsgebouw|handelsgebouwen|86.66666666666667
Architectuurschildering|Architectuurbeschildering|92.0
jeugdherberg|jeugdherbergen|85.71428571428572
vieringtoren|vieringtorens|92.3076923076923
Arbeiderwijk|Arbeiderswijk|92.3076923076923
Timmerwerk|Timmerwerf|90.0
Graffiti|Graffito|87.5
Graanopslagplaats|Graanopslagplaatsen|89.47368421052632
Grafschildering|Glasschildering|86.66666666666667
Grafschildering|Grafschilderingen|88.23529411764706
steiger|steigers|87.5
Basilica|Basilicae|88.88888888888889
