Term in CSV,Other Term in CSV,Similarity Score
Latijnse bouwkunst,Naoorlogse bouwkunst,0.8387852859143038
Latijnse bouwkunst,religieuze bouwkunst,0.874942181639255
Griekse bouwkunst,Romaanse bouwkunst,0.8186413630913147
Griekse bouwkunst,Antroposofische bouwkunst,0.8025151313686981
Griekse bouwkunst,Islamitische bouwkunst,0.8231840669749466
Griekse bouwkunst,Javaanse bouwkunst,0.8541006083349942
Griekse bouwkunst,Victoriaanse bouwkunst,0.8564805930401086
Griekse bouwkunst,Romeinse bouwkunst,0.8473208918603418
Griekse bouwkunst,Neoromaanse bouwkunst,0.8586863938977812
Griekse bouwkunst,Byzantijnse bouwkunst,0.883508004420687
Griekse bouwkunst,Latijnse bouwkunst,0.8565229979730946
Griekse bouwkunst,Egyptische bouwkunst,0.8090579136212281
Griekse bouwkunst,Naoorlogse bouwkunst,0.836457340791787
Griekse bouwkunst,religieuze bouwkunst,0.8070211751064766
Egyptische bouwkunst,Antroposofische bouwkunst,0.9007923267887418
Egyptische bouwkunst,Militaire bouwkunst,0.8303166581433423
Egyptische bouwkunst,Nationaal-Socialistische bouwkunst,0.8304151421820735
Egyptische bouwkunst,Islamitische bouwkunst,0.8197477960362684
Egyptische bouwkunst,Javaanse bouwkunst,0.8335365802161082
Egyptische bouwkunst,Romeinse bouwkunst,0.8553936976292379
Egyptische bouwkunst,Neoromaanse bouwkunst,0.847467428846673
Egyptische bouwkunst,Latijnse bouwkunst,0.8561126678715014
Egyptische bouwkunst,Griekse bouwkunst,0.8090579136212281
Egyptische bouwkunst,Naoorlogse bouwkunst,0.8405222969074347
Gebouwontwerp,Gebouw,0.8061900416731483
Landbouwbedrijfsgebouwen,Landbouwgronden,0.8055526360206392
Kerkelijke gebouwen,Openbare gebouwen,0.8470328203587366
Kerkelijke gebouwen,agrarische gebouwen,0.8305145716408365
militaire gebouwen,agrarische gebouwen,0.8217002660827974
Opgraving gebouw,Openbaar gebouw,0.8281568220323103
Naoorlogse bouwkunst,Antroposofische bouwkunst,0.8195481504925104
Naoorlogse bouwkunst,Javaanse bouwkunst,0.8405169802610287
Naoorlogse bouwkunst,Victoriaanse bouwkunst,0.8435396411314449
Naoorlogse bouwkunst,Romeinse bouwkunst,0.8593254570250793
Naoorlogse bouwkunst,Neoromaanse bouwkunst,0.8016229181734301
Naoorlogse bouwkunst,Latijnse bouwkunst,0.8387852859143038
Naoorlogse bouwkunst,Griekse bouwkunst,0.836457340791787
Naoorlogse bouwkunst,Egyptische bouwkunst,0.8405222969074347
Landbouwvoertuig,Landbouwwerktuig,0.8552637297389557
Museumgebouwen. Museuminrichting,Houtbouw. Timmermanswerk. Schrijnwerk,0.8079410436515402
religieuze bouwkunst,Antroposofische bouwkunst,0.8022628229360104
religieuze bouwkunst,Javaanse bouwkunst,0.8260454938621606
religieuze bouwkunst,Romeinse bouwkunst,0.8001480191340189
religieuze bouwkunst,Latijnse bouwkunst,0.874942181639255
religieuze bouwkunst,Griekse bouwkunst,0.8070211751064766
stedebouw (bouwkunst),woningbouw (bouwkunst),0.8506973448276371
woningbouw (bouwkunst),stedebouw (bouwkunst),0.8506973448276371
